date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:45	202/202	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Apr%202016%2014:24:47%20GMT	http://museopedrodeosma.org/wp-content/plugins/qtranslate-x/flags/es.png	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/qtranslate-x/flags/es.png	(from http://museopedrodeosma.org/en/)
00:46:47	398/398	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Apr%202016%2014:24:47%20GMT	http://museopedrodeosma.org/wp-content/plugins/qtranslate-x/flags/gb.png	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/qtranslate-x/flags/gb.png	(from http://museopedrodeosma.org/en/)
00:46:48	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2020%20May%202016%2005:46:48%20GMT	http://museopedrodeosma.org/es/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/es/index.html	(from http://museopedrodeosma.org/en/)
00:46:49	1916/1916	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Mar%202016%2021:09:06%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/03/FAV1.png	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/03/FAV1.png	(from http://museopedrodeosma.org/en/)
00:46:51	4530/4530	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Feb%202016%2021:57:57%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/logos-museo-pedro-de-osma.png	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/logos-museo-pedro-de-osma.png	(from http://museopedrodeosma.org/en/)
00:47:00	39489/39489	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:46:52%20GMT	http://museopedrodeosma.org/en/el-museo/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/el-museo/index.html	(from http://museopedrodeosma.org/en/)
00:47:02	38660/38660	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:46:53%20GMT	http://museopedrodeosma.org/en/historia/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/historia/index.html	(from http://museopedrodeosma.org/en/)
00:47:03	37923/37923	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:46:53%20GMT	http://museopedrodeosma.org/en/quienes-somos/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/quienes-somos/index.html	(from http://museopedrodeosma.org/en/)
00:47:13	42429/42429	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:47:04%20GMT	http://museopedrodeosma.org/en/quienes-somos-2/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/quienes-somos-2/index.html	(from http://museopedrodeosma.org/en/)
00:47:17	115055/115055	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Feb%202016%2016:56:32%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/ba2.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/ba2.jpg	(from http://museopedrodeosma.org/en/)
00:47:23	331248/331248	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Jan%202016%2015:07:43%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/01/1.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/01/1.jpg	(from http://museopedrodeosma.org/en/)
00:47:36	213800/213800	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Jan%202016%2015:09:20%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/01/2.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/01/2.jpg	(from http://museopedrodeosma.org/en/)
00:47:52	243777/243777	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Jan%202016%2016:10:07%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/01/4.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/01/4.jpg	(from http://museopedrodeosma.org/en/)
00:47:54	227392/227392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Feb%202016%2016:56:54%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/ba1.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/ba1.jpg	(from http://museopedrodeosma.org/en/)
00:48:04	268135/268135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Feb%202016%2016:57:55%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/ba4.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/ba4.jpg	(from http://museopedrodeosma.org/en/)
00:48:06	41388/41388	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:47:56%20GMT	http://museopedrodeosma.org/en/visitanos/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/visitanos/index.html	(from http://museopedrodeosma.org/en/)
00:48:08	9486/9486	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202016%2022:36:30%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/logo-pie.png	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/logo-pie.png	(from http://museopedrodeosma.org/en/)
00:48:10	646/646	---MC-	200	added ('OK')	text/css	date:Fri,%2020%20May%202016%2005:48:10%20GMT	http://fonts.googleapis.com/css?family=Nunito:400,300,700&subset=latin	/home/merunga/websites/museopedrodeosma/fonts.googleapis.com/cssb8af.css	(from http://museopedrodeosma.org/en/)
00:48:12	39827/39827	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:08%20GMT	http://museopedrodeosma.org/en/audio-guias/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/audio-guias/index.html	(from http://museopedrodeosma.org/en/)
00:48:13	268143/268143	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Jan%202016%2016:10:23%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/01/5.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/01/5.jpg	(from http://museopedrodeosma.org/en/)
00:48:13	169059/169059	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Feb%202016%2016:57:29%20GMT	http://museopedrodeosma.org/wp-content/uploads/2016/02/ba3.jpg	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/uploads/2016/02/ba3.jpg	(from http://museopedrodeosma.org/en/)
00:48:14	11137/11137	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202016%2022:40:04%20GMT	http://museopedrodeosma.org/wp-content/plugins/lightweight-social-icons/css/style.css	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/lightweight-social-icons/css/style.css	(from http://museopedrodeosma.org/en/)
00:48:16	40754/40754	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:13%20GMT	http://museopedrodeosma.org/en/educacion/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/educacion/index.html	(from http://museopedrodeosma.org/en/)
00:48:16	4228/4228	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:01%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/frontend-builder-global-functions.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/frontend-builder-global-functions4468.js	(from http://museopedrodeosma.org/en/)
00:48:18	41495/41495	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:15%20GMT	http://museopedrodeosma.org/en/adulto-mayor/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/adulto-mayor/index.html	(from http://museopedrodeosma.org/en/)
00:48:19	40723/40723	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:15%20GMT	http://museopedrodeosma.org/en/familias/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/familias/index.html	(from http://museopedrodeosma.org/en/)
00:48:21	31976/31976	---M--	200	added ('OK')	application/javascript	date:Tue,%2007%20Apr%202015%2011:38:26%20GMT	http://museopedrodeosma.org/wp-includes/js/masonry.min.js?ver=3.1.2	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/js/masonry.min0226.js	(from http://museopedrodeosma.org/en/)
00:48:21	1836/1836	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Mar%202014%2014:33:16%20GMT	http://museopedrodeosma.org/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/js/jquery/jquery.masonry.min0226.js	(from http://museopedrodeosma.org/en/)
00:48:22	42938/42938	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:18%20GMT	http://museopedrodeosma.org/en/recursos/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/recursos/index.html	(from http://museopedrodeosma.org/en/)
00:48:24	34525/34525	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:53:39%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/js/custom.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/js/custom4468.js	(from http://museopedrodeosma.org/en/)
00:48:25	37818/37818	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:21%20GMT	http://museopedrodeosma.org/en/coleccion/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/coleccion/index.html	(from http://museopedrodeosma.org/en/)
00:48:26	2856/2856	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:05%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.fitvids.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.fitvids4468.js	(from http://museopedrodeosma.org/en/)
00:48:28	59946/59946	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:23%20GMT	http://museopedrodeosma.org/en/temas/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/temas/index.html	(from http://museopedrodeosma.org/en/)
00:48:28	8044/8044	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:08%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/waypoints.min.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/waypoints.min4468.js	(from http://museopedrodeosma.org/en/)
